"purchase_date","shop_id","product_id","price","quantity","price_after_discount"
"2013-01-02",4001,4100024369,1480,1,1480
"2013-01-02",4001,4100024794,2807,1,2807
"2013-01-02",4001,4100028657,979,1,979
"2013-01-02",4001,4300000205,3319,1,3319
"2013-01-02",4001,4300007581,1899,1,1899
"2013-01-02",4001,4300044415,3239,1,3239
"2013-01-02",4001,4300058500,2906,1,2906
"2013-01-02",4001,4300059381,1310,1,1310
"2013-01-03",4001,4100015902,839,1,839
"2013-01-03",4001,4100024220,10920,1,10920
"2013-01-03",4001,4100024336,1655,1,1655
"2013-01-03",4001,4100028568,290,1,290
"2013-01-03",4001,4100039578,925,1,925
"2013-01-03",4001,4100041169,4099,1,4099
"2013-01-03",4001,4300006873,1239,1,1239
"2013-01-03",4001,4300007876,395,1,395
"2013-01-03",4001,4300024089,640,1,640
"2013-01-03",4001,4300025556,7239,1,7239
"2013-01-03",4001,4300037346,3809,1,3809
"2013-01-03",4001,4300037561,3179,1,3179
"2013-01-03",4001,4300037777,11285,1,11285
"2013-01-03",4001,4300040787,21865,1,21865
"2013-01-03",4001,4300041310,9435,1,9435
"2013-01-03",4001,4300042755,208,1,208
"2013-01-03",4001,4300043796,1727,1,1727
"2013-01-03",4001,4300044664,6675,1,6675
"2013-01-03",4001,4300050947,260,1,260
"2013-01-03",4001,4300058878,1306,1,1306
"2013-01-03",4001,4300058917,1580,1,1580
"2013-01-03",4001,4300059231,10559,1,10559
"2013-01-03",4001,4300059250,4209,1,4209
"2013-01-03",4001,4300059403,10530,1,10530
"2013-01-04",4001,4100008182,555,1,555
"2013-01-04",4001,4100008182,555,-1,-555
"2013-01-04",4001,4100012172,985,1,985
"2013-01-04",4001,4100017549,1530,-1,-1530
"2013-01-04",4001,4100017549,1530,1,1530
"2013-01-04",4001,4100028564,863,1,863
"2013-01-04",4001,4100028663,499,1,499
"2013-01-04",4001,4300007744,1310,1,1310
"2013-01-04",4001,4300013277,3919,1,3919
"2013-01-04",4001,4300027267,15189,1,15189
"2013-01-04",4001,4300037310,2685,1,2685
"2013-01-04",4001,4300037406,2880,1,2880
"2013-01-04",4001,4300042285,5125,1,5125
"2013-01-04",4001,4300042649,1200,1,1200
"2013-01-04",4001,4300042959,3895,1,3895
"2013-01-04",4001,4300044869,4965,1,4965
"2013-01-04",4001,4300049964,6705,1,6705
"2013-01-04",4001,4300055380,2855,1,2855
"2013-01-04",4001,4300058880,4071,1,4071
"2013-01-04",4001,4300058884,3180,1,3180
"2013-01-04",4001,4300058955,1780,1,1780
"2013-01-04",4001,4300059383,2999,1,2999
"2013-01-05",4001,4100016163,7504,1,7504
"2013-01-05",4001,4100017499,12680,1,12680
"2013-01-05",4001,4100027245,2820,1,2820
"2013-01-05",4001,4100027368,530,1,530
"2013-01-05",4001,4100028673,400,1,400
"2013-01-05",4001,4100028701,839,1,839
"2013-01-05",4001,4100038790,4139,1,4139
"2013-01-05",4001,4100040968,12664,1,12664
"2013-01-05",4001,4300011813,5309,1,5309
"2013-01-05",4001,4300024633,6229,1,6229
