Timestamp;item 1089;item 10960;item 1178;item 11827;item 1511;item 15934;item 16368;item 17248;item 18232;item 18291;item 19924;item 21275;item 21496;item 2171;item 2173;item 22385;item 23367;item 24101;item 24340;item 24692;item 24960;item 25208;item 25673;item 25714;item 26808;item 2695;item 27149;item 27474;item 27475;item 27808;item 28269;item 28560;item 28632;item 28654;item 29014;item 29416;item 29428;item 29673;item 31080;item 31454;item 31978;item 32289;item 32653;item 32768;item 33324;item 33335;item 34190;item 34280;item 34647;item 35081;item 37419;item 37449;item 38291;item 38417;item 38760;item 38881;item 39634;item 4009;item 40485;item 40909;item 41994;item 42633;item 42697;item 43073;item 43486;item 44981;item 45097;item 46316;item 46596;item 46766;item 47988;item 48206;item 48342;item 50535;item 52499;item 52601;item 61354;item 62654;item 63068;item 65040;item 65447;item 65672;item 66201;item 67270;item 68125;item 684;item 68499;item 69226;item 69274;item 69398;item 75233;item 76722;item 76866;item 79654;item 79747;item 81560;item 83350;item 8373;item 87993;item 896;item 89787;item 91285;item 91845;item 93627;item 93634;item 96260;item 96880;item 97952;item 99146;item 99147
2006-11-01;1.0;2.0;0.0;3.0;3.0;0.0;0.0;2.0;3.0;4.0;1.0;2.0;;1.0;1.0;4.0;0.658;0.0;0.0;2.0;2.0;8.0;11.0;;1.0;0.0;1.0;2.0;;2.0;4.0;6.0;1.0;1.0;0.464;1.0;0.0;3.0;5.0;2.0;3.0;8.0;2.0;3.0;0.0;2.0;7.0;4.308;3.0;1.0;3.0;;2.0;6.0;3.0;;;1.0;3.0;3.0;;3.0;0.0;2.0;0.0;1.0;0.0;2.0;;4.804;;;7.0;4.0;;2.0;1.0;0.274;3.0;0.0;0.459;;9.0;0.0;0.0;2.0;1.0;5.0;2.0;1.0;;2.0;2.0;3.0;1.0;31.0;;0.0;0.0;2.0;3.0;;;;;;;;;
2006-11-02;2.0;2.0;4.0;0.0;0.0;1.0;0.0;5.0;1.0;6.0;0.0;2.0;;4.0;2.0;1.0;0.0;1.0;2.0;2.0;3.0;7.0;6.0;;6.0;0.0;0.0;2.0;;3.0;3.0;4.0;0.0;0.0;0.0;3.0;6.0;0.0;2.0;3.0;10.0;5.0;2.0;4.0;5.0;2.0;31.0;1.714;0.0;5.0;6.0;1.0;2.0;7.0;4.0;;;1.0;5.0;2.0;;0.0;1.0;2.0;0.582;;0.0;2.0;;0.732;;;5.0;2.0;;1.0;4.0;0;1.0;1.0;0.466;;7.0;7.0;0.0;3.0;1.0;0.0;3.0;3.0;;7.0;3.0;0.0;5.0;25.0;;5.0;1.0;3.0;4.0;;;;;;;;;
2006-11-03;4.0;4.0;1.0;3.0;3.0;1.0;0.0;5.0;6.0;7.0;0.0;3.0;;2.0;3.0;4.0;2.624;8.0;2.0;3.0;2.0;9.0;6.0;;6.0;1.0;1.0;1.0;;2.0;2.0;2.0;1.0;2.0;0.0;1.0;4.0;2.0;2.0;4.0;5.0;7.0;2.0;1.0;4.0;0.0;24.0;2.112;6.0;2.0;5.0;2.0;0.0;2.0;2.0;;;0.0;1.0;0.0;;1.0;0.0;1.0;1.506;7.0;0.0;1.0;;2.936;;;6.0;2.0;;1.0;2.0;0;3.0;2.0;0.848;;8.0;3.0;0.0;7.0;2.0;6.0;3.0;1.0;;3.0;1.0;1.0;3.0;29.0;;1.0;1.0;1.0;0.0;;;;;;;;;
2006-11-04;0.0;3.0;2.0;1.0;1.0;0.0;2.0;1.0;1.0;7.0;2.0;3.0;;3.0;2.0;2.0;0.938;2.0;2.0;2.0;0.0;9.0;9.0;;2.0;0.0;0.0;4.0;;3.0;0.0;0.0;2.0;4.0;0.444;3.0;2.0;3.0;0.0;3.0;5.0;3.0;0.0;1.0;1.0;2.0;4.0;1.148;3.0;0.0;2.0;1.0;1.0;4.0;2.0;;;0.0;0.0;4.0;;3.0;0.0;2.0;0.226;3.0;0.0;3.0;;4.42;;;5.0;5.0;;3.0;1.0;0;1.0;0.0;0.469;;3.0;5.0;0.0;2.0;2.0;2.0;2.0;5.0;;4.0;3.0;2.0;6.0;22.0;;8.0;0.0;2.0;3.0;;;;;;;;;
2006-11-05;4.0;8.0;1.0;2.0;1.0;1.0;2.0;6.0;5.0;6.0;0.0;5.0;;3.0;3.0;4.0;1.302;0.0;0.0;1.0;3.0;3.0;12.0;;7.0;0.0;0.0;1.0;;0.0;1.0;0.0;3.0;3.0;1.976;3.0;3.0;1.0;3.0;3.0;4.0;5.0;0.0;3.0;1.0;1.0;15.0;0.774;4.0;2.0;0.0;1.0;3.0;4.0;1.0;;;4.0;2.0;0.0;;1.0;2.0;1.0;1.294;0.0;1.0;5.0;;2.968;;;4.0;5.0;;5.0;5.0;0.136;4.0;2.0;0.0;;1.0;6.0;0.0;8.0;2.0;4.0;0.0;1.0;;3.0;2.0;3.0;8.0;49.0;;3.0;2.0;4.0;6.0;;;;;;;;;
2006-11-06;0.0;3.0;1.0;2.0;0.0;2.0;0.0;2.0;2.0;9.0;0.0;3.0;;3.0;2.0;7.0;1.914;5.0;0.0;2.0;3.0;2.0;14.0;;4.0;1.0;2.0;3.0;;0.0;1.0;2.0;3.0;5.0;1.28;2.0;0.0;3.0;3.0;3.0;4.0;2.0;2.0;0.0;0.0;2.0;17.0;2.684;1.0;2.0;3.0;4.0;5.0;5.0;1.0;;;4.0;0.0;0.0;;1.0;0.0;0.0;1.006;1.0;2.0;1.0;;3.822;;;6.0;2.0;;0.0;8.0;0;0.0;0.0;0.972;;8.0;7.0;0.0;5.0;2.0;8.0;2.0;6.0;;3.0;4.0;1.0;1.0;29.0;;3.0;2.0;0.0;1.0;;;;;;;;;
2006-11-07;0.0;3.0;1.0;2.0;1.0;0.0;2.0;6.0;3.0;3.0;0.0;2.0;0.11;4.0;2.0;1.0;5.048;3.0;4.0;4.0;7.0;8.0;14.0;1.394;7.0;0.0;2.0;3.0;;3.0;2.0;1.0;5.0;5.0;3.71;2.0;1.0;1.0;4.0;2.0;5.0;3.0;1.0;3.0;0.0;0.0;14.0;2.014;2.0;1.0;1.0;1.0;1.0;4.0;0.0;;0.76;1.0;1.0;0.0;;2.0;0.0;1.0;0.374;2.0;4.0;4.0;1.007;2.64;2.0;;3.0;4.0;;1.0;2.0;1.248;3.0;2.0;0.514;0.0;4.0;5.0;0.0;3.0;3.0;1.0;1.0;0.0;;3.0;1.0;3.0;2.0;26.0;;2.0;2.0;4.0;2.0;;;;;;;;;
2006-11-08;0.0;2.0;3.0;1.0;1.0;;12.0;4.0;2.0;2.0;0.0;1.0;0.29;4.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;4.0;5.0;0.218;5.0;3.0;0.0;3.0;;3.0;0.0;1.0;3.0;6.0;3.294;1.0;8.0;2.0;0.0;2.0;8.0;1.0;3.0;1.0;3.0;1.0;12.0;2.712;1.0;2.0;2.0;1.0;0.0;2.0;0.0;;1.72;1.0;0.0;0.0;;0.0;0.0;1.0;0.586;1.0;3.0;1.0;0;0.464;0.0;;2.0;4.0;;1.0;2.0;0.52;5.0;0.0;0.89;1.0;4.0;8.0;0.0;4.0;1.0;5.0;2.0;4.0;;0.0;1.0;3.0;6.0;42.0;;1.0;2.0;2.0;1.0;;;;;;;;;
2006-11-09;1.0;1.0;1.0;9.0;5.0;0.0;0.0;2.0;2.0;11.0;0.0;3.0;0.846;2.0;4.0;9.0;0.0;0.0;1.0;1.0;0.0;12.0;15.0;0.814;2.0;1.0;1.0;3.0;;1.0;0.0;2.0;4.0;5.0;0.672;4.0;16.0;1.0;0.0;13.0;8.0;8.0;2.0;5.0;1.0;2.0;8.0;2.62;3.0;1.0;8.0;1.0;3.0;7.0;0.0;;1.776;2.0;0.0;0.0;;0.0;2.0;1.0;0.0;2.0;1.0;5.0;1.578;1.616;0.0;;6.0;6.0;;2.0;2.0;0.464;4.0;2.0;0.495;0.0;2.0;2.0;0.0;0.0;2.0;10.0;1.0;1.0;;4.0;1.0;2.0;4.0;25.0;;5.0;1.0;3.0;3.0;;;;;;;;;
2006-11-10;6.0;0.0;2.0;3.0;3.0;2.0;1.0;4.0;2.0;4.0;0.0;1.0;0.482;4.0;4.0;4.0;0.0;2.0;1.0;2.0;2.0;4.0;12.0;0;7.0;1.0;1.0;2.0;;0.0;0.0;0.0;2.0;1.0;2.008;2.0;4.0;2.0;0.0;6.0;7.0;13.0;1.0;1.0;2.0;6.0;5.0;0.898;2.0;1.0;6.0;2.0;5.0;2.0;0.0;;1.636;5.0;0.0;0.0;;5.0;1.0;4.0;0.68;4.0;3.0;1.0;2.38;4.05;0.0;;6.0;2.0;;1.0;1.0;;2.0;2.0;0.486;0.0;7.0;9.0;0.0;0.0;2.0;3.0;2.0;2.0;;0.0;2.0;1.0;9.0;56.0;;3.0;1.0;2.0;2.0;;;;;;;;;
