
[+] General Parameters:
Training data:	./data/train.txt
Test data:	./data/test.txt
Validation data:	./data/valid.txt
Feature vector representation: Dense.
Ranking method:	RankNet
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ./model/RankNet_3_30.txt

[+] RankNet's Parameters:
No. of epochs: 100
No. of hidden layers: 3
No. of hidden nodes per layer: 30
Learning rate: 5.0E-5

Reading feature file [./data/train.txt]: 0... Reading feature file [./data/train.txt]... [Done.]            
(104 ranked lists, 1305 entries read)
Reading feature file [./data/valid.txt]: 0... Reading feature file [./data/valid.txt]... [Done.]            
(105 ranked lists, 975 entries read)
Reading feature file [./data/test.txt]: 0... Reading feature file [./data/test.txt]... [Done.]            
(76 ranked lists, 655 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | % mis-ordered  | NDCG@10-T | NDCG@10-V | 
        |   pairs        |           |           | 
--------------------------------------------------
1       | 0.1564         | 0.6266    | 0.5534    | 
2       | 0.1564         | 0.6266    | 0.5533    | 
3       | 0.1564         | 0.6266    | 0.5533    | 
4       | 0.1562         | 0.6268    | 0.5533    | 
5       | 0.1562         | 0.6268    | 0.5533    | 
6       | 0.1562         | 0.6268    | 0.5533    | 
7       | 0.1562         | 0.6268    | 0.5533    | 
8       | 0.1562         | 0.6268    | 0.5533    | 
9       | 0.1562         | 0.6268    | 0.5533    | 
10      | 0.1562         | 0.6268    | 0.5533    | 
11      | 0.1557         | 0.6269    | 0.5533    | 
12      | 0.1557         | 0.6269    | 0.5533    | 
13      | 0.1557         | 0.6269    | 0.5533    | 
14      | 0.1557         | 0.6269    | 0.5537    | 
15      | 0.1557         | 0.6266    | 0.5537    | 
16      | 0.1557         | 0.6266    | 0.5537    | 
17      | 0.1557         | 0.6266    | 0.556     | 
18      | 0.1557         | 0.6266    | 0.556     | 
19      | 0.1559         | 0.6266    | 0.556     | 
20      | 0.1557         | 0.6267    | 0.556     | 
21      | 0.1557         | 0.6267    | 0.556     | 
22      | 0.1557         | 0.6267    | 0.5559    | 
23      | 0.1557         | 0.6267    | 0.5559    | 
24      | 0.1557         | 0.6267    | 0.5559    | 
25      | 0.1557         | 0.6267    | 0.5559    | 
26      | 0.1557         | 0.6267    | 0.556     | 
27      | 0.1557         | 0.6267    | 0.556     | 
28      | 0.1557         | 0.6267    | 0.556     | 
29      | 0.1557         | 0.6267    | 0.556     | 
30      | 0.1559         | 0.6267    | 0.556     | 
31      | 0.1559         | 0.6267    | 0.556     | 
32      | 0.1562         | 0.6266    | 0.556     | 
33      | 0.1562         | 0.6266    | 0.556     | 
34      | 0.1562         | 0.6266    | 0.556     | 
35      | 0.1562         | 0.6266    | 0.5559    | 
